,Image,Acc,F1,Jaccard,Recall,Precision
0,new_data\test\image\01_test,0.9351615905761719,0.4917924951412767,0.32607747511993973,0.9348641582357622,0.3336579032781564
1,new_data\test\image\02_test,0.9389076232910156,0.5638260206443881,0.39258894030190394,0.9393774389690535,0.40279399175033076
2,new_data\test\image\03_test,0.9559516906738281,0.5756807408224011,0.4041795665634675,0.7255464987032234,0.47712736797222394
3,new_data\test\image\04_test,0.9486122131347656,0.5737429990823657,0.40227181967431336,0.9285129045473167,0.41512889784330786
4,new_data\test\image\05_test,0.9550895690917969,0.5888310690462055,0.417264762659011,0.8939554612937434,0.4389939072019997
5,new_data\test\image\06_test,0.9509696960449219,0.5679228157461256,0.39657276995305163,0.8763357194729744,0.4200815595782773
6,new_data\test\image\07_test,0.9476547241210938,0.5495075508864083,0.3788420623783441,0.904267963263101,0.3946710681443056
7,new_data\test\image\08_test,0.952850341796875,0.5474185280117173,0.37685908747164104,0.8456839008937662,0.4046884305126956
8,new_data\test\image\09_test,0.9584159851074219,0.5528161791852976,0.3819944441294858,0.8572519083969465,0.4079433311133983
9,new_data\test\image\10_test,0.9488792419433594,0.5293105265006498,0.3599063813526939,0.9320880752102919,0.36959827340952567
10,new_data\test\image\11_test,0.9413909912109375,0.5117269433674442,0.34383941917574207,0.9460634547591069,0.35071441017598887
11,new_data\test\image\12_test,0.946929931640625,0.5334048832841428,0.3637028905964142,0.9099439295113857,0.3772832945865161
12,new_data\test\image\13_test,0.94439697265625,0.551010349926072,0.3802721088435374,0.9118156794780303,0.3947914367689252
13,new_data\test\image\14_test,0.9446144104003906,0.5082805567785417,0.3407346864641511,0.938821468785187,0.34847218352372994
14,new_data\test\image\15_test,0.9476737976074219,0.4840711625982624,0.3193231441048035,0.9221840068787618,0.32816563822734457
15,new_data\test\image\16_test,0.9425315856933594,0.5232142291989746,0.3542925721143543,0.9064590415615748,0.36773734317999823
16,new_data\test\image\17_test,0.9501266479492188,0.5278098815371279,0.358520190373387,0.8441543438077634,0.383932324506095
17,new_data\test\image\18_test,0.94146728515625,0.4922567835870285,0.3264858221402862,0.918158252067646,0.33627198336271985
18,new_data\test\image\19_test,0.9376335144042969,0.48156017123830663,0.31714142511068416,0.9567792338709677,0.3217509216492224
19,new_data\test\image\20_test,0.9424705505371094,0.4698934936201624,0.3070985527222605,0.9267886855241264,0.3147337194519
